STATION_NO,LOCATION
45,N 26TH ST & W YORK ST
34,N 28TH ST & W THOMPSON ST
49,S 13TH ST & SHUNK ST
66,RIDGE AVE & SHAWMONT AVE
37,W HIGHLAND AVE & SHAWNEE ST
63,1210 OAK LN
64,RISING SUN AVE & BENNER ST
56,RHAWN ST & VERREE RD
39,RIDGE AVE & CINNAMINSON ST
53,S 4TH ST & SNYDER AVE
78,2 PIA WAY
41,N 61ST ST & W THOMPSON ST
35,RIDGE AVE & MIDVALE AVE
73,76TH AVE & OGONTZ AVE
51,5931 OLD YORK RD
61,RISING SUN AVE & E SOMERVILLE AVE
50,N PARK AVE & W CAMBRIA ST
15,S DELAWARE AVE & WASHINGTON AVE
52,JACKSON ST & VAN KIRK ST
70,FOULKROD ST & LANGDON ST
36,7818 FRANKFORD AVE
62,BUSTLETON AVE & BOWLER ST
46,FRANKFORD AVE & LINDEN AVE
47,3031 GRAYS FERRY AVE
69,8140 BARTRAM AVE
33,RICHMOND ST & KIRKBRIDE ST
44,3420 HAVERFORD AVE
60,S 24TH ST & RITNER ST
29,N 4TH ST & W GIRARD AVE
68,S 52ND ST & WILLOWS AVE
55,N FRONT ST & W LUZERNE ST
38,KEYSTONE ST & MAGEE AVE
43,2110 MARKET ST
57,S 56TH ST & CHESTNUT ST
72,1127 W LOUDEN ST
71,LORETTO AVE & COTTMAN AVE
40,S 65TH ST & WOODLAND AVE
59,W HUNTING PARK AVE & SCHUYLER ST
1,711 S BROAD ST
2,2426 N 2ND ST
3,E MOYAMENSING AVE & WASHINGTON AVE
5,N 43RD ST & MARKET ST
6,BELGRADE ST & E HUNTINGDON ST
7,KENSINGTON AVE & CASTOR AVE
8,N 4TH ST & ARCH ST
9,GERMANTOWN AVE & CARPENTER LN
10,S 12TH ST & REED ST
11,S 6TH ST & SOUTH ST
12,4445 MAIN ST
13,1541 PARRISH ST
14,FOULKROD ST & DARRAH ST
16,BELMONT AVE & VIOLA ST
18,8205 E ROOSEVELT BLVD
19,E CHELTEN AVE & BAYNTON ST
20,N 10TH ST & CHERRY ST
22,ACADEMY RD & COMLY RD
24,S 20TH ST & FEDERAL ST
25,BOUDINOT ST & HART LN
27,N 19TH ST & W OXFORD ST
28,BELGRADE ST & E ONTARIO ST
32,SCHUYLKILL RIVER N. OF PASSYUNK AVE
